# steps, mse
2.820000000000000000e+02,2.785183429718017578e+00
4.391900000000000000e+04,2.250317856669425964e-02
8.751900000000000000e+04,6.452246569097042084e-03
1.311330000000000000e+05,3.503414569422602654e-03
1.743690000000000000e+05,1.873624511063098907e-03
2.181280000000000000e+05,2.238259650766849518e-03
2.615790000000000000e+05,2.074341988191008568e-03
3.056420000000000000e+05,1.497240620665252209e-03
3.491640000000000000e+05,1.635537249967455864e-03
3.935930000000000000e+05,2.138021867722272873e-03
4.371540000000000000e+05,2.324604894965887070e-03
4.802640000000000000e+05,1.945585943758487701e-03
5.243640000000000000e+05,1.850995118729770184e-03
5.683270000000000000e+05,1.730016898363828659e-03
6.123580000000000000e+05,2.089730696752667427e-03
6.557930000000000000e+05,1.333997352048754692e-03
6.996880000000000000e+05,1.662146183662116528e-03
7.435280000000000000e+05,1.913345418870449066e-03
7.863120000000000000e+05,1.816609757952392101e-03
8.310090000000000000e+05,2.302186097949743271e-03
8.750190000000000000e+05,1.617251662537455559e-03
9.189830000000000000e+05,1.785474829375743866e-03
9.627060000000000000e+05,1.304553728550672531e-02
1.006105000000000000e+06,1.626747543923556805e-03
1.049917000000000000e+06,1.764311804436147213e-03
1.093535000000000000e+06,1.830756431445479393e-03
1.136738000000000000e+06,1.532032270915806293e-03
1.180724000000000000e+06,2.799697453156113625e-03
1.224097000000000000e+06,2.065046224743127823e-03
1.268164000000000000e+06,3.189395647495985031e-03
1.311465000000000000e+06,2.709396649152040482e-03
1.354846000000000000e+06,1.987089170143008232e-03
1.399922000000000000e+06,2.098578726872801781e-03
1.443461000000000000e+06,1.959172310307621956e-03
1.458348000000000000e+06,2.225232077762484550e-03
1.458670000000000000e+06,2.246615942567586899e-03
1.480062000000000000e+06,1.732425065711140633e-03
1.501705000000000000e+06,2.329324372112751007e-03
1.524334000000000000e+06,1.677416381426155567e-03
1.545767000000000000e+06,3.115996485576033592e-03
1.568175000000000000e+06,1.676805550232529640e-03
1.590403000000000000e+06,1.025236560963094234e-03
1.612432000000000000e+06,1.448291819542646408e-03
1.634596000000000000e+06,1.653755083680152893e-03
1.656542000000000000e+06,1.751393429003655910e-03
1.678416000000000000e+06,1.121700741350650787e-03
1.699900000000000000e+06,1.141385640949010849e-03
1.721302000000000000e+06,1.559219672344624996e-03
1.743774000000000000e+06,2.492826199159026146e-03
1.765605000000000000e+06,1.549656619317829609e-03
1.786856000000000000e+06,2.187393838539719582e-03
1.809179000000000000e+06,1.373126520775258541e-03
1.831001000000000000e+06,1.379927736707031727e-03
1.853287000000000000e+06,1.800870290026068687e-03
1.875298000000000000e+06,2.149562584236264229e-03
1.897128000000000000e+06,1.065393211320042610e-03
1.919121000000000000e+06,2.328719478100538254e-03
1.941059000000000000e+06,2.322881249710917473e-03
1.962156000000000000e+06,1.495395787060260773e-03
1.983961000000000000e+06,1.419230946339666843e-03
2.006803000000000000e+06,1.535096904262900352e-03
2.028965000000000000e+06,1.867685350589454174e-03
2.050677000000000000e+06,3.119874978438019753e-03
2.073595000000000000e+06,1.472499221563339233e-03
2.094890000000000000e+06,1.320396433584392071e-03
2.117216000000000000e+06,2.607984701171517372e-03
2.139179000000000000e+06,2.414457499980926514e-03
2.161051000000000000e+06,1.555983792059123516e-03
2.182844000000000000e+06,1.583165838383138180e-03
2.204991000000000000e+06,1.838680123910307884e-03
2.226651000000000000e+06,2.113135764375329018e-03
2.248794000000000000e+06,1.917680609039962292e-03
2.270704000000000000e+06,1.298634568229317665e-03
2.292792000000000000e+06,1.756916171871125698e-03
2.314434000000000000e+06,1.477980636991560459e-03
2.335738000000000000e+06,1.660168636590242386e-03
2.357269000000000000e+06,2.638868987560272217e-03
2.379020000000000000e+06,1.747504924423992634e-03
2.400718000000000000e+06,1.427620765753090382e-03
2.423198000000000000e+06,1.632058178074657917e-03
